学号	姓名	性别	分数1	分数2	分数3
1	嬴政	男	78	92	85
2	李清照	女	95	88	76
3	李世民	男	82	79	91
4	武则天	女	89	93	87
5	诸葛亮	男	76	85	90
6	王昭君	女	92	77	84
7	司马迁	男	81	94	79
8	花木兰	女	87	82	95
9	曹操	男	90	76	88
10	杨玉环	女	83	89	80
11	霍去病	男	94	85	77
12	蔡文姬	女	79	91	86
13	岳飞	男	88	80	93
14	西施	女	85	92	81
15	王安石	男	77	87	94
16	穆桂英	女	91	78	82
17	张飞	男	84	95	75
18	黄道婆	女	80	83	89
19	李白	男	93	81	92
20	孝庄皇后	女	86	90	78
21	韩信	男	75	84	97
22	文成公主	女	97	86	83
23	关羽	男	82	77	90
24	长孙皇后	女	89	94	85
25	玄奘	男	78	89	84
26	吕雉	女	92	75	91
27	杜甫	男	85	82	88
28	貂蝉	女	81	93	79
29	郑和	男	90	88	82
30	班昭	女	86	79	96
